"Div","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","B365>2.5","B365<2.5","B365CH","B365CD","B365CA","SourceFile"
"E0",2019-10-05,17:30:00,"West Ham","Crystal Palace",1,2,"A",0,0,"D","M Oliver",9,7,4,4,11,7,2,2,3,2,0,0,1.95,3.6,3.8,1.8,2,1.95,3.6,3.75,"E0_1920.csv"
"E0",2019-10-06,14:00:00,"Arsenal","Bournemouth",1,0,"H",1,0,"H","M Atkinson",12,10,2,2,12,6,14,5,1,2,0,0,1.44,4.75,7,1.33,3.4,1.36,5.5,7,"E0_1920.csv"
"E0",2019-10-06,14:00:00,"Man City","Wolves",0,2,"A",0,0,"D","C Pawson",18,7,2,2,11,14,9,1,5,2,0,0,1.12,9,21,1.36,3.2,1.12,8.5,21,"E0_1920.csv"
"E0",2019-10-06,14:00:00,"Southampton","Chelsea",1,4,"A",1,3,"A","P Tierney",10,13,3,7,8,15,3,4,0,1,0,0,4,3.8,1.85,1.72,2.1,4.6,4.2,1.66,"E0_1920.csv"
"E0",2019-10-06,16:30:00,"Newcastle","Man United",1,0,"H",0,0,"D","M Dean",12,12,2,3,12,10,4,6,3,3,0,0,4.5,3.5,1.85,2.2,1.66,3.8,3.25,2.05,"E0_1920.csv"
"E0",2019-10-19,12:30:00,"Everton","West Ham",2,0,"H",1,0,"H","P Tierney",19,8,10,4,15,15,11,2,2,2,0,0,1.95,3.75,3.75,1.72,2.1,1.75,4,4.2,"E0_1920.csv"
"E0",2019-10-19,15:00:00,"Aston Villa","Brighton",2,1,"H",1,1,"D","D Coote",24,20,8,5,9,17,7,5,1,2,0,1,2.35,3.4,3,1.8,2,2.3,3.5,3,"E0_1920.csv"
"E0",2019-10-19,15:00:00,"Bournemouth","Norwich",0,0,"D",0,0,"D","L Mason",11,10,2,1,8,11,6,7,1,3,0,0,1.72,4.2,4.2,1.4,3,1.72,4.2,4.2,"E0_1920.csv"
"E0",2019-10-19,15:00:00,"Chelsea","Newcastle",1,0,"H",0,0,"D","A Marriner",16,5,8,0,9,12,11,0,2,1,0,0,1.3,5.5,10,1.57,2.37,1.25,6,11,"E0_1920.csv"
"E0",2019-10-19,15:00:00,"Leicester","Burnley",2,1,"H",1,1,"D","J Moss",19,13,3,4,4,10,9,4,0,3,0,0,1.57,4,6,1.9,1.9,1.45,4.33,7,"E0_1920.csv"
