Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,B365>2.5,B365<2.5,B365CH,B365CD,B365CA,SourceFile,imp_prob_H,imp_prob_D,imp_prob_A,total_prob,norm_prob_H,norm_prob_D,norm_prob_A,OU_2.5
E0,2019-12-01,14:00:00,Norwich,Arsenal,2,2,D,2,1,H,P Tierney,15,16,8,7,8,10,7,12,2,1,0,0,4,4.33,1.75,1.4,3,4.2,4.33,1.7,E0_1920.csv,0.25,0.23094688221709006,0.5714285714285714,1.0523754536456615,0.23755780233560622,0.21945293518300807,0.5429892624813857,Over
E0,2019-12-01,14:00:00,Wolves,Sheffield United,1,1,D,0,1,A,D Coote,13,9,3,4,12,18,7,2,1,4,0,0,1.9,3.5,4.2,2.3,1.61,2.2,3,3.75,E0_1920.csv,0.5263157894736842,0.2857142857142857,0.23809523809523808,1.050125313283208,0.5011933174224343,0.2720763723150358,0.22673031026252982,Under
E0,2019-12-01,16:30:00,Leicester,Everton,2,1,H,0,1,A,G Scott,16,11,6,3,7,9,4,4,0,1,0,0,1.61,4,5.25,1.8,2,1.57,4.2,5.75,E0_1920.csv,0.6211180124223602,0.25,0.19047619047619047,1.0615942028985508,0.5850804485616772,0.23549488054607506,0.17942467089224767,Over
E0,2019-12-01,16:30:00,Man United,Aston Villa,2,2,D,1,1,D,C Pawson,16,9,6,3,16,8,9,9,4,1,0,0,1.45,4.5,7,1.72,2.1,1.44,4.75,7,E0_1920.csv,0.6896551724137931,0.2222222222222222,0.14285714285714285,1.0547345374931583,0.6538661131292164,0.21069019200830302,0.13544369486248053,Over
E0,2019-12-03,19:30:00,Crystal Palace,Bournemouth,1,0,H,0,0,D,A Taylor,7,6,2,3,6,15,6,9,3,3,1,0,2.2,3.4,3.25,2,1.8,2.2,3.5,3.2,E0_1920.csv,0.45454545454545453,0.29411764705882354,0.3076923076923077,1.056355409296586,0.43029595015576316,0.27842679127725856,0.29127725856697817,Under
E0,2019-12-03,20:15:00,Burnley,Man City,1,4,A,0,1,A,J Moss,4,17,2,8,9,6,3,6,1,1,0,0,11,7,1.22,1.44,2.75,13,6.5,1.22,E0_1920.csv,0.09090909090909091,0.14285714285714285,0.819672131147541,1.0534383649137748,0.08629749393694422,0.13561034761519805,0.7780921584478576,Over
E0,2019-12-04,19:30:00,Chelsea,Aston Villa,2,1,H,1,1,D,C Kavanagh,25,9,9,3,18,10,9,5,2,1,0,0,1.28,5.75,10,1.4,3,1.33,5.25,8.5,E0_1920.csv,0.78125,0.17391304347826086,0.1,1.0551630434782608,0.7404069018799897,0.16482101467937163,0.09477208344063869,Over
E0,2019-12-04,19:30:00,Leicester,Watford,2,0,H,0,0,D,C Pawson,12,4,6,1,13,16,7,2,3,2,0,0,1.33,5.5,8,1.61,2.3,1.33,5.25,8.5,E0_1920.csv,0.7518796992481203,0.18181818181818182,0.125,1.0586978810663021,0.7101928819304333,0.17173755144863206,0.11806956662093454,Under
E0,2019-12-04,19:30:00,Man United,Tottenham,2,1,H,1,1,D,P Tierney,12,8,7,5,9,9,4,3,0,1,0,0,2.75,3.4,2.55,1.8,2,2.5,3.4,2.8,E0_1920.csv,0.36363636363636365,0.29411764705882354,0.3921568627450981,1.049910873440285,0.34634974533106966,0.28013582342954163,0.3735144312393889,Over
E0,2019-12-04,19:30:00,Southampton,Norwich,2,1,H,2,0,H,K Friend,14,10,5,3,12,7,6,1,1,1,0,0,1.72,4,4.2,1.57,2.37,1.75,3.8,4.5,E0_1920.csv,0.5813953488372093,0.25,0.23809523809523808,1.0694905869324474,0.5436189490033653,0.23375614807144707,0.22262490292518766,Over
E0,2019-12-04,19:30:00,Wolves,West Ham,2,0,H,1,0,H,A Marriner,13,6,7,3,8,9,5,4,1,2,0,0,1.75,3.7,4.75,1.9,1.9,1.66,3.8,5.25,E0_1920.csv,0.5714285714285714,0.27027027027027023,0.21052631578947367,1.0522251574883152,0.5430668211664735,0.25685592893008885,0.20007724990343764,Under
E0,2019-12-04,20:15:00,Liverpool,Everton,5,2,H,4,2,H,M Dean,11,12,5,4,13,17,5,6,1,2,0,0,1.36,5,8.5,1.57,2.37,1.6,4,5.5,E0_1920.csv,0.7352941176470588,0.2,0.11764705882352941,1.0529411764705883,0.6983240223463686,0.18994413407821228,0.11173184357541899,Over
E0,2019-12-05,19:30:00,Sheffield United,Newcastle,0,2,A,0,1,A,S Attwell,13,6,6,4,10,6,8,1,2,0,0,0,1.83,3.4,4.6,2.3,1.61,1.8,3.4,5,E0_1920.csv,0.5464480874316939,0.29411764705882354,0.2173913043478261,1.0579570388383437,0.5165125495376485,0.27800528401585206,0.20548216644649933,Under
E0,2019-12-05,20:15:00,Arsenal,Brighton,1,2,A,0,1,A,G Scott,12,20,5,9,10,11,9,9,3,1,0,0,1.57,4.33,5.5,1.53,2.5,1.61,4.33,5,E0_1920.csv,0.6369426751592356,0.23094688221709006,0.18181818181818182,1.0497077391945075,0.6067809651932196,0.2200106501970796,0.17320838460970087,Over
E0,2019-12-07,12:30:00,Everton,Chelsea,3,1,H,1,0,H,C Pawson,13,15,7,4,14,9,1,5,3,0,0,0,3.5,3.75,2,1.72,2.1,3.1,3.8,2.15,E0_1920.csv,0.2857142857142857,0.26666666666666666,0.5,1.0523809523809524,0.27149321266968324,0.25339366515837103,0.4751131221719457,Over
E0,2019-12-07,15:00:00,Bournemouth,Liverpool,0,3,A,0,2,A,C Kavanagh,3,21,0,9,5,6,1,3,0,1,0,0,7,5.25,1.4,1.5,2.62,6,4.5,1.5,E0_1920.csv,0.14285714285714285,0.19047619047619047,0.7142857142857143,1.0476190476190477,0.13636363636363635,0.1818181818181818,0.6818181818181818,Over
E0,2019-12-07,15:00:00,Tottenham,Burnley,5,0,H,3,0,H,K Friend,13,7,7,1,12,8,1,1,1,1,0,0,1.4,4.75,8,1.57,2.37,1.4,4.75,7.5,E0_1920.csv,0.7142857142857143,0.21052631578947367,0.125,1.0498120300751879,0.6803939122649956,0.20053715308863027,0.11906893464637423,Over
E0,2019-12-07,15:00:00,Watford,Crystal Palace,0,0,D,0,0,D,M Atkinson,13,3,3,0,15,16,6,2,4,2,0,0,2.37,3.3,3.1,2,1.8,2.4,3.4,2.9,E0_1920.csv,0.42194092827004215,0.30303030303030304,0.3225806451612903,1.0475518764616354,0.4027876210725254,0.2892747460429956,0.3079376328844791,Under
E0,2019-12-07,17:30:00,Man City,Man United,1,2,A,0,2,A,A Taylor,22,11,5,7,10,10,16,3,3,2,0,0,1.3,5.5,10,1.5,2.62,1.3,5.75,9,E0_1920.csv,0.7692307692307692,0.18181818181818182,0.1,1.0510489510489511,0.7318695941450432,0.17298735861610112,0.09514304723885562,Over
E0,2019-12-08,14:00:00,Aston Villa,Leicester,1,4,A,1,2,A,M Oliver,15,23,2,8,21,15,8,5,6,2,0,0,4.33,3.8,1.8,1.61,2.3,4.75,4.2,1.65,E0_1920.csv,0.23094688221709006,0.2631578947368421,0.5555555555555556,1.0496603325094878,0.22002058672156458,0.2507076685537828,0.5292717447246527,Over
E0,2019-12-08,14:00:00,Newcastle,Southampton,2,1,H,0,0,D,D Coote,12,19,6,4,11,17,3,12,1,3,0,0,2.5,3.2,2.9,2.1,1.72,2.55,3.3,2.8,E0_1920.csv,0.4,0.3125,0.3448275862068966,1.0573275862068967,0.3783122706889523,0.29555646147574394,0.32613126783530366,Over
E0,2019-12-08,14:00:00,Norwich,Sheffield United,1,2,A,1,0,H,S Hooper,14,9,4,3,6,12,9,1,0,4,0,0,2.9,3.5,2.37,1.8,2,3.1,3.5,2.25,E0_1920.csv,0.3448275862068966,0.2857142857142857,0.42194092827004215,1.0524828001912243,0.32763251441662067,0.2714669405166285,0.40090054506675094,Over
